Player,Creep Score,Gold Earned
Boss,188,11107
Crazy,217,12201
Ahahacik,156,9048
Mojito,194,11234
Nomanz,216,9245
Bolulu,205,12737
Argonavt,202,9539
Alive,273,15085
Santas,41,6328
Zergsting,42,7395
Evi,191,8931
Fudge,263,11834
Steal,156,8420
Blaber,182,9464
Aria,219,9378
Perkz,253,13774
Yutapon,303,11579
Zven,299,13145
Gaeng,27,5451
Bulcan,30,7332
Crazy,234,14529
Pk,189,9150
Mojito,204,12685
Husha,177,10050
Bolulu,285,12463
Maoan,287,12444
Alive,349,15344
Doggo,382,14682
Zergsting,22,8568
Kino,39,7154
Boss,267,14533
Evi,239,11883
Ahahacik,178,10182
Steal,209,12984
Nomanz,294,12248
Aria,298,15251
Argonavt,284,12808
Yutapon,355,17214
Santas,36,7139
Gaeng,32,8700
Morgan,287,14052
Buggax,268,12028
Willer,178,10013
Solidsnake,177,9721
Chovy,295,13344
Cody,224,10242
Deft,296,14853
Whitelotus,312,11875
Vsta,37,7498
Ackerman,35,6137
Ale,235,13180
Vizicsacsi,189,8931
Tarzan,162,9533
Babip,116,6557
Icon,230,10241
Tally,177,7300
Light,233,10206
Violet,207,8409
Iwandy,45,5785
Aladoric,29,4859
Buggax,295,11674
Guigo,257,14204
Solidsnake,189,9729
Aegis,247,11796
Cody,207,9285
Grevthar,205,11355
Whitelotus,303,13103
Titan,298,15010
Ackerman,21,6744
Jojo,33,7418
Morgan,374,14645
Ale,395,19128
Willer,220,11325
Tarzan,258,13499
Chovy,414,16177
Icon,359,15853
Deft,381,15994
Light,419,20128
Vsta,35,8265
Iwandy,43,10030
Fudge,182,11424
Crazy,227,11123
Blaber,211,12377
Mojito,133,7841
Perkz,289,14548
Bolulu,246,11310
Zven,267,14154
Alive,248,10754
Vulcan,30,6747
Zersting,29,5746
Liang,215,12133
Boss,151,8216
Husha,127,9692
Ahahacik,143,7165
Maoan,194,9516
Nomanz,205,8493
Doggo,261,12709
Argonavt,184,7846
Kino,37,6957
Santas,37,4985
Crazy,217,9273
Evi,194,10411
Mojito,149,7629
Steal,157,10640
Bolulu,260,9831
Aria,226,10342
Alive,229,8665
Yutapon,258,13694
Zergsting,16,6332
Gaeng,25,8059
Liang,283,13410
Fudge,259,14836
Husha,267,13745
Blaber,242,13933
Maoan,279,13718
Perkz,353,16803
Doggo,360,16722
Zven,390,19588
Kino,30,7551
Vulcan,50,10167
Guigo,199,10088
Morgan,223,12527
Aegis,165,8298
Willer,198,11384
Grevthar,162,9783
Chovy,261,12644
Titan,227,10376
Deft,272,14162
Jojo,30,5892
Leona,39,7961
Buggax,256,16360
Vizicsacsi,265,12869
Solidsnake,181,10273
Babip,240,14521
Cody,183,9754
Tally,320,17194
Whitelotus,332,13620
Violet,342,14369
Ackerman,51,7715
Aladoric,48,8340
Guigo,203,8754
Ale,264,14251
Aegis,197,9202
Tarzan,177,10271
Grevthar,253,10111
Icon,266,11214
Titan,243,11052
Light,300,13497
Jojo,14,6486
Iwandy,42,7168
Vizicsacsi,247,9214
Morgan,252,12829
Bapip,162,9729
Willer,187,12156
Tally,268,10772
Chovy,325,13502
Violet,220,9588
Deft,295,14645
Aladoric,39,5861
Vsta,36,7399
Fudge,186,9567
Boss,160,9939
Blaber,148,8350
Ahahacik,154,9604
Perkz,197,8772
Nomanz,193,11195
Zven,236,9735
Argonavt,50,8808
Vulcan,28,5843
Santas,184,8889
Evi,257,15358
Liang,217,9660
Steal,215,12194
Husha,167,8205
Aria,267,12271
Maoan,245,11105
Yutapon,338,15905
Doggo,351,13003
Gaeng,36,7695
Kino,30,6045
Vizicsacsi,243,13552
Guigo,229,13179
Babip,168,10498
Aegis,176,10388
Tally,285,15333
Grevthar,247,10348
Violet,245,12893
Titan,246,10708
Aladoric,38,7325
Jojo,43,6514
Ale,216,13719
Buggax,156,6984
Tarzan,174,10530
Solidsnake,129,6778
Icon,208,9633
Cody,165,7666
Light,208,9692
Whitelotus,196,7485
Iwandy,29,6143
Ackerman,28,4714
Evi,231,13708
Fudge,313,14644
Steal,184,13140
Blaber,225,13610
Aria,362,18076
Perkz,290,12201
Yutapon,331,17061
Zven,372,14765
Gaeng,33,9003
Vulcan,23,7594
Boss,256,14213
Liang,285,14704
Ahahacik,184,11442
Husha,177,11761
Nomanz,367,16052
Maoan,356,15558
Argonavt,58,9554
Doggo,353,20546
Santas,200,10354
Kino,41,9304
